query_spectrum_nr;rt_time_query_spectrum;precursor_mz_query_spectrum;SpectrumID_GNPS_results;Compound_Name_GNPS_results;Smiles_GNPS_results;MassDiff_GNPS_results;LibMZ_GNPS_results;InChIKey-Planar_GNPS_results;superclass_GNPS_results;ms2query_model_prediction_ms2query_results;precursor_mz_difference_ms2query_results;precursor_mz_analog_ms2query_results;inchikey_ms2query_results;spectrum_ids_ms2query_results;analog_compound_name_ms2query_results;smiles_ms2query_results;cf_kingdom_ms2query_results;cf_superclass_ms2query_results;cf_class_ms2query_results;cf_subclass_ms2query_results;cf_direct_parent_ms2query_results;npc_class_results_ms2query_results;npc_superclass_results_ms2query_results;npc_pathway_results_ms2query_results
827;326.290.009;443.13;CCMSLIB00000222538;Massbank:PB006265 4-methylumbelliferyl glucuronide|(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-(4-methyl-2-oxochromen-7-yl)oxyoxane-2-carboxylic acid;CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)C(=O)O)O)O)O;9.004.299.999.999.990;353.087;ARQXEQLMMNGFDU;Phenylpropanoids and polyketides;0.409;215.95;659.08;RNKMOGIPOMVCHO;CCMSLIB00006554680;1,3,6-Tri-O-galloyl-beta-D-glucose;O[C@@H]1[C@@H](COC(=O)C2=CC(O)=C(O)C(O)=C2)O[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](O)[C@H]1OC(=O)C4=CC(O)=C(O)C(O)=C4;Organic compounds;Phenylpropanoids and polyketides;Tannins;;Tannins;Gallotannins;Phenolic acids (C6-C1);Shikimates and Phenylpropanoids
411;313.561.981;170.06;CCMSLIB00005746579;Massbank:PR301031 Harmane;CC1=C2NC3=CC=CC=C3C2=CC=N1;13.032;183.092;PSFDQSOCUJVVGF;;0.6246;0.0;170.06;PLVPPLCLBIEYEA;CCMSLIB00006705962;3-Indoleacrylic acid;C1=CC=C2C(=C1)C(=CN2)/C=C/C(=O)O;Organic compounds;Organoheterocyclic compounds;Indoles and derivatives;Indoles;Indoles;Simple indole alkaloids;Tryptophan alkaloids;Alkaloids
432;156.485.001;197.068;CCMSLIB00000206017;Massbank: Aminophylline;[H]C([H])([H])N(C(=O)1)C(=O)c(n([H])2)c(nc([H])2)N(C([H])([H])[H])1;15.995;181.073;ZFXYFBGIUFBOJW;Organoheterocyclic compounds;0.8158;0.001;197.067;NOFNCLGCUJJPKU;CCMSLIB00006679631;"""1,7-DIMETHYLURIC ACID""";CN1C2=C(NC1=O)NC(=O)N(C2=O)C;Organic compounds;Organoheterocyclic compounds;Imidazopyrimidines;Purines and purine derivatives;Xanthines;Purine alkaloids;Pseudoalkaloids (transamidation);Alkaloids
390;173.839.996;147.045;CCMSLIB00006422084;Isodemethylwedelolactone;O=C1OC=2C(O)=CC(O)=CC2C=3OC=4C=C(O)C(O)=CC4C13;153.985;301.03;OBEHELRBTWMPHI;Phenylpropanoids and polyketides;0.6241;0.0;147.045;ZYGHJZDHTFUPRJ;CCMSLIB00000215130;FIO00037 Coumarin;O=C1OC2=CC=CC=C2C=C1;Organic compounds;Phenylpropanoids and polyketides;Coumarins and derivatives;;Coumarins and derivatives;Simple coumarins;Coumarins;Shikimates and Phenylpropanoids
839;490.235.016;467.153;CCMSLIB00003137233;Spectral Match to Baicalin from NIST14;;20.061;447.092;;;0.5309;192.083;275.07;QKNDCRMJDZLFEG;CCMSLIB00006384850;7-methoxy-2-phenyl-4H-chromen-4-one;O=C1C=C(OC2=CC(OC)=CC=C12)C=3C=CC=CC3;Organic compounds;Phenylpropanoids and polyketides;Flavonoids;O-methylated flavonoids;7-O-methylated flavonoids;Flavones;Flavonoids;Shikimates and Phenylpropanoids
408;66.576.996;169.036;CCMSLIB00005883631;URATE - 50.0 eV;O=C1NC2=C(N1)C(=O)NC(=O)N2;0.0;169.036;LEHOTFFKMJEONL;Organoheterocyclic compounds;0.733;0.0;169.036;LEHOTFFKMJEONL;CCMSLIB00005883629;URATE - 30.0 eV;C12=C(NC(=O)N1)NC(=O)NC2=O;Organic compounds;Organoheterocyclic compounds;Imidazopyrimidines;Purines and purine derivatives;Xanthines;Purine alkaloids;Pseudoalkaloids (transamidation);Alkaloids
535;403.571.014;259.095;CCMSLIB00003135495;Spectral Match to Carboxyibuprofen from NIST14;;39.994;219.101;;;0.409;177.153;436.248;NWNQOAZCDWMOGB;CCMSLIB00006691742;(2E)-1-[2-(2-ethoxyphenyl)-6-hydroxy-3-azabicyclo[4.4.0]dec-3-yl]-3-(4-methoxy phenyl)prop-2-en-1-one;;;;;;;;;
802;398.629.974;411.163;CCMSLIB00003138770;Spectral Match to Baicalin from NIST14;;35.929;447.092;;;0.409;282.257;693.42;XOIQMTLWECTKJL;CCMSLIB00006558382;sodium (2S,3R,4S)-4-((2S,7S,8R,9S)-2-((2S,2'R,3'S,5R,5'R)-2-ethyl-5'-((2S,3S,5R,6R)-6-hydroxy-6-(hydroxymethyl)-3,5-dimethyltetrahydro-2H-pyran-2-yl)-3'-methyloctahydro-[2,2'-bifuran]-5-yl)-9-hydroxy- 2,8-dimethyl-1,6-dioxaspiro[4.5]decan-7-yl)-3-methoxy-2 -methylpentanoate;CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)[O-])OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C.[Na+];Organic compounds;Organic oxygen compounds;Organooxygen compounds;Ethers;Ketals;Polyether ionophores;Polyethers;Polyketides
720;435.912.018;346.26;CCMSLIB00003139520;Spectral Match to Acetyl-L-carnitine from NIST14;CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C;142.137;204.123;RDHQFKQIGNGIED;Lipids and lipid-like molecules;0.5832;86.074;260.186;VVPRQWTYSNDTEA;CCMSLIB00005788025;Caproylcarnitine;CCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C;Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters;Acyl carnitines;Fatty acyl carnitines;Fatty esters;Fatty acids
425;84.144.005;182.081;CCMSLIB00005883848;L-TYROSINE - 60.0 eV;N[C@@H](CC1=CC=C(O)C=C1)C(O)=O;0.0;182.081;OUYCCCASQSFEME;Organic acids and derivatives;0.8768;0.0;182.081;OUYCCCASQSFEME;CCMSLIB00000205785;Tyrosine;C1=CC(=CC=C1CC(C(=O)O)N)O;Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues;Tyrosine and derivatives;Aminoacids;Small peptides;Amino acids and Peptides
763;301.213.989;387.163;CCMSLIB00000223351;Massbank:TY000178 Baicalin|5,6-Dihydroxy-4-oxo-2-phenyl-4H-1-benzopyran-7-yl beta-D-glucopyranosiduronic acid|Baicalein 7-O-beta-D-glucuronide|Baicalein 7-glucuronide;OC(=O)[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1Oc(c2)c(O)c(O)c(C(=O)3)c(OC(c(c4)cccc4)=C3)2;59.926;447.089;IKIIZLYTISPENI;Phenylpropanoids and polyketides;0.409;54.888;442.051;DHICZUMVFNVYHU;CCMSLIB00006687541;3-[(4-iodophenyl)amino]-1-(3,4,5-trimethoxyphenyl)propan-1-one;;;;;;;;;
487;691.518.005;235.217;CCMSLIB00000841806;MassbankEU:SM847401 Hexazinone|3-cyclohexyl-6-(dimethylamino)-1-methyl-1,3,5-triazine-2,4-dione;CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C;17.949;253.166;CAWXEEYDBZRFPE;Organic nitrogen compounds;0.409;298.119;533.336;STCOOQWBFONSKY;CCMSLIB00003139455;Tributyl phosphate;CCCCOP(=O)(OCCCC)OCCCC;Organic compounds;Organic acids and derivatives;Organic phosphoric acids and derivatives;Phosphate esters;Trialkyl phosphates;;Fatty acyls;Fatty acids
656;482.876.984;316.249;CCMSLIB00005738777;Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate;CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C;0.00100708;316.248;LZOSYCMHQXPBFU;Lipids and lipid-like molecules;0.5292;98.11;218.139;UFAHZIUFPNSHSL;CCMSLIB00005885048;Propionylcarnitine - 70.00 eV;CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C;Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters;Acyl carnitines;Fatty acyl carnitines;Fatty esters;Fatty acids
591;48.289.001;277.09;CCMSLIB00001058946;Pesticide3_Chlorotoluron_C10H13ClN2O_Urea, N'-(3-chloro-4-methylphenyl)-N,N-dimethyl-;CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl;42.029;235.061;JXCGFZXSOMJFOA;Benzenoids;0.409;332.094;609.184;FFMUDKAAAYNVQQ;CCMSLIB00006696271;4-hydroxy-3-[(4-hydroxy-2-oxo-8-phenyl(3-hydroquinolyl))(4-methylthiophenyl)me thyl]-1-phenylhydroquinolin-2-one;;;;;;;;;
482;79.194;229.155;CCMSLIB00008851507;229 TMAP based onhttps://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04378; ;0.000335693;229.155;;;0.3738;59.051;170.104;GCKLGRUZDXSATG;CCMSLIB00000207997;Prometon-Hydroxy-Desisopropyl;n(c(nc1NC(C)C)O)c(n1)N;Organic compounds;Organoheterocyclic compounds;Triazines;1,3,5-triazines;1,3,5-triazines;;;Alkaloids
762;138.848.999;384.115;CCMSLIB00005467722;Succinoadenosine; ;0.00500488;384.12;;;0.6322;514.049;898.164;JVNVHNHITFVWIX;CCMSLIB00000478637;cinnamoyl CoA;O=C(SCCNC(CCNC(C(C(C)(C)COP(OP(OCC1C(OP(O)(O)=O)C(O)C(N2C(N=CN=C3N)=C3N=C2)O1)(O)=O)(O)=O)O)=O)=O)/C=C/C4=CC=CC=C4;Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acyl thioesters;2-enoyl CoAs;Fatty acyl CoAs;Fatty esters;Fatty acids
396;34.143.997;162.113;CCMSLIB00005738084;Massbank:RP022202 L-Carnitine|DL-Carnitine|3-hydroxy-4-(trimethylazaniumyl)butanoate;C[N+](C)(C)CC(CC(=O)[O-])O;0.0;162.113;PHIQHXFUZVPYII;Organic nitrogen compounds;0.6246;0.0;162.113;PHIQHXFUZVPYII;CCMSLIB00000222990;L-gamma-Trimethyl-beta-hydroxybutyrobetaine;C[N+](C)(C)C[C@H](O)CC([O-])=O;Organic compounds;Organic nitrogen compounds;Organonitrogen compounds;Quaternary ammonium salts;Carnitines;Fatty acyl carnitines;Fatty esters;Fatty acids
394;101.473.999;153.066;CCMSLIB00005755265;Massbank: nicotinamide|pyridine-3-carboxamide;N=C(O)c1cccnc1;30.011;123.055;DFPAKSUCGFBDDF;Organoheterocyclic compounds;0.3459;168.036;321.102;LJKAKWDUZRJNPJ;CCMSLIB00000207748;N-[4-[(4,6-dimethyl-2-pyrimidinyl)sulfamoyl]phenyl]acetamide;O=S(=O)(c1ccc(cc1)NC(=O)C)Nc1nc(cc(n1)C)C;Organic compounds;Benzenoids;Benzene and substituted derivatives;Benzenesulfonamides;Benzenesulfonamides;Pyridine alkaloids;Nicotinic acid alkaloids;Alkaloids
469;406.048.981;219.102;CCMSLIB00003135495;Spectral Match to Carboxyibuprofen from NIST14;;0.00100708;219.101;;;0.7649;0.0;219.102;DIVLBIVDYADZPL;CCMSLIB00003137094;Carboxyibuprofen;CC(CC1=CC=C(C=C1)C(C)C(=O)O)C(=O)O;Organic compounds;Phenylpropanoids and polyketides;Phenylpropanoic acids;;Phenylpropanoic acids;;;Terpenoids
377;41.914.997;144.103;CCMSLIB00006686170;NMDA;CN[C@H](CC(=O)O)C(=O)O;3.957;148.06;HOKKHZGPKSLGJE;Organic acids and derivatives;0.7413;0.003;144.1;IHLDCUQUFBWSJU;CCMSLIB00006536106;(2R)-6-methylpiperidine-2-carboxylic acid;O=C(O)C1NC(C)CCC1;Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues;Alpha amino acids;Aminoacids;Small peptides;Amino acids and Peptides
445;24.195.999;203.224;CCMSLIB00005884404;SPERMINE - 50.0 eV;NCCCNCCCCNCCCN;0.000991821;203.223;PFNFFQXMRSDOHW;Organic nitrogen compounds;0.6917;0.0;203.224;PFNFFQXMRSDOHW;CCMSLIB00000221854;N,N'-bis(3-aminopropyl)butane-1,4-diamine;NCCCNCCCCNCCCN;Organic compounds;Organic nitrogen compounds;Organonitrogen compounds;Amines;Dialkylamines;Polyamines;Ornithine alkaloids;Alkaloids
412;39.436.001;171.077;CCMSLIB00006683964;3-HYDROXYMANDELIC ACID;C1=CC(=CC(=C1)C(C(=O)O)O)O;404.199;167.035;OLSDAJRAVOVKLG;Benzenoids;0.2943;15.0;156.077;HNDVDQJCIGZPNO;CCMSLIB00005884166;L-HISTIDINE - 70.0 eV;C1=C(NC=N1)CC(C(=O)O)N;Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues;Histidine and derivatives;Aminoacids;Small peptides;Amino acids and Peptides
859;355.984.009;497.141;CCMSLIB00005748224;Massbank:PR306892 Kaempferol-3-O-glucuronoside;OC1C(O)C(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)OC(C1O)C(O)=O;36.068.000.000.000.000;461.073;FNTJVYCFNVUBOL;Phenylpropanoids and polyketides;0.409;186.091;683.232;TVBJKPLTBPGHDJ;CCMSLIB00006531722;2''-O-rhamnosyl icariside II;O=C1C(OC2OC(C)C(O)C(O)C2OC3OC(C)C(O)C(O)C3O)=C(OC=4C1=C(O)C=C(O)C4CC=C(C)C)C=5C=CC(OC)=CC5;Organic compounds;Phenylpropanoids and polyketides;Flavonoids;Flavonoid glycosides;Flavonoid-3-O-glycosides;Flavonols;Flavonoids;Shikimates and Phenylpropanoids
590;46.867.001;277.09;CCMSLIB00004696158;1-O-trans-cinnamoyl-beta-D-glucopyranose;O=C(/C=C/c1ccccc1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;56.004;333.094;CJGRGYBLAHPYOM;Phenylpropanoids and polyketides;0.409;211.953;489.043;RYLHNOVXKPXDIP;CCMSLIB00005776910;N-[[4-[2-chloro-4-(trifluoromethyl)phenoxy]-2-fluorophenyl]carbamoyl]-2,6-difluorobenzamide;C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F;Organic compounds;Benzenoids;Benzene and substituted derivatives;N-phenylureas;N-benzoyl-N'-phenylureas;;;Polyketides
452;49.338.001;212.104;CCMSLIB00005883989;1-METHYL-L-HISTIDINE - 40.0 eV;CN1C=NC(C[C@H](N)C(O)=O)=C1;42.012;170.092;BRMWTNUJHUMWMS;Organic acids and derivatives;0.3744;88.028;124.076;BHAAPTBBJKJZER;CCMSLIB00005764615;p-Anisidine;COC1=CC=C(N)C=C1;Organic compounds;Benzenoids;Phenol ethers;Aminophenyl ethers;Aminophenyl ethers;;;
343;71.478.004;137.046;CCMSLIB00005883807;HYPOXANTHINE - 70.0 eV;OC1=NC=NC2=C1NC=N2;0.0;137.046;FDGQSTZJBFJUBT;Organoheterocyclic compounds;0.7424;0.0;137.046;JFZSDNLQDTYVEE;CCMSLIB00000215779;FIO00457 Allopurinol;O=c1[nH]cnc2c[nH]nc12;;;;;;Imidazole alkaloids;Histidine alkaloids;Alkaloids
753;333.759.003;369.153;CCMSLIB00005722188;NCGC00180352-03!(2S,3S,4S,5R,6S)-6-(2,4-dihydroxy-3,6-diphenylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid [IIN-based on: CCMSLIB00000848542];O[C@H]1[C@H](OC2=C(C=C(O)C(C3=CC=CC=C3)=C2O)C4=CC=CC=C4)O[C@@H]([C@@H](O)[C@@H]1O)C(O)=O;107.962;477.115;QQDLPJHEFJKVHT;Benzenoids;0.409;131.999;501.152;KQQLSXWIDDTWRR;CCMSLIB00000845666;7-(3,4-dihydroxyphenyl)-1-(4-hydroxyphenyl)-5-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyheptan-3-one;O[C@@H]1CO[C@@H](OC(CCC2=CC=C(O)C(O)=C2)CC(=O)CCC3=CC=C(O)C=C3)[C@H](O)[C@H]1O;Organic compounds;Phenylpropanoids and polyketides;Diarylheptanoids;Linear diarylheptanoids;Linear diarylheptanoids;Linear diarylheptanoids;Diarylheptanoids;Shikimates and Phenylpropanoids
622;286.083.008;304.212;CCMSLIB00003139520;Spectral Match to Acetyl-L-carnitine from NIST14;CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C;100.089;204.123;RDHQFKQIGNGIED;Lipids and lipid-like molecules;0.6041;124.161;428.373;FNPHNLNTJNMAEE;CCMSLIB00005738661;3-octadecanoyloxy-4-(trimethylazaniumyl)butanoate;CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C;Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters;Acyl carnitines;Fatty acyl carnitines;Fatty esters;Fatty acids
581;542.411.987;274.275;CCMSLIB00005766958;Massbank:LU030802 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol;CCCCCCCCCCCCN(CCO)CCO;0.00100708;274.274;NKFNBVMJTSYZDV;Organic nitrogen compounds;0.3459;53.111;327.386;JGFDZZLUDWMUQH;CCMSLIB00005774632;didecyl(dimethyl)azanium;;;;;;;;;
387;63.669.397;144.982;CCMSLIB00005733881;Massbank:EQ301104 Acetazolamide|AZM|N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide;O=S(=O)(c1nnc(s1)NC(=O)C)N;78.013;222.995;BZKPWHYZMXOIDC;Organoheterocyclic compounds;0.409;633.558;778.54;XXKFQTJOJZELMD;CCMSLIB00003137019;1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine;CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC;Organic compounds;Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphocholines;Phosphatidylcholines;Glycerophosphocholines;Glycerophospholipids;Fatty acids
467;149.649.002;218.044;CCMSLIB00006700868;N-[2-(2-methylindol-3-yl)ethyl]-2-(2,3,5,6-tetrafluorophenoxy)acetamide;Cc1[nH]c2ccccc2c1CCN=C(O)COc1c(F)c(F)cc(F)c1F;163.078;381.122;SCLHUQNHVPZCHR;Organoheterocyclic compounds;0.5546;153.029;371.073;WQVBIOASHIQGLA;CCMSLIB00006703439;(2-chloro-4,5-difluorophenyl)-N-[2-(2-methylindol-3-yl)ethyl]carboxamide;;;;;;;;;
606;216.223.999;287.104;CCMSLIB00006684337;PHENYLACETYL-GLUTAMINE;C1=CC=C(C=C1)C/C(=N/[C@@H](CCC(=N)O)C(=O)O)/O;21.986;265.118;JFLIEFSWGNOPJJ;Organic acids and derivatives;0.409;319.336;606.44;MVMSCBBUIHUTGJ;CCMSLIB00005756866;Guanosine-5'-diphosphate-D-mannose sodium salt;C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)NC(=NC2=O)N;Organic compounds;Nucleosides, nucleotides, and analogues;Purine nucleotides;Purine nucleotide sugars;Purine nucleotide sugars;Purine nucleotides;Nucleosides;Carbohydrates
751;21.904.599;363.163;CCMSLIB00004694082;3,7-Epoxycaryophyllan-6-Ol;CC1(C)CC2C1CCC1(C)OC2(C)CCC1O;101.98;261.183;KSMZUKWIDPCGBS;;0.409;176.004;539.167;YTDNHMHONBWCBV;CCMSLIB00005722955;7-methoxy-8-(3-prop-1-en-2-yloxiran-2-yl)chromen-2-one [IIN-based on: CCMSLIB00000848780];COC1=CC=C2C=CC(=O)OC2=C1C3OC3C(C)=C;Organic compounds;Phenylpropanoids and polyketides;Coumarins and derivatives;;Coumarins and derivatives;Simple coumarins;Coumarins;Shikimates and Phenylpropanoids
475;303.969.025;221.079;CCMSLIB00004709000;3-(2,6-dihydroxyphenyl)-4-hydroxy-6-methyl-3H-2-benzofuran-1-one;Cc1cc(O)c2c(c1)C(=O)OC2c1c(O)cccc1O;73.979;295.058;GYCHRCQMZRMPJA;Organoheterocyclic compounds;0.3459;124.976;346.055;ZOOGRGPOEVQQDX;CCMSLIB00004719816;Guanosine cyclic monophosphate;[C@@H]14O[P](OC[C@H]1O[C@@H]([N]2C3=C(N=C2)C(=O)N=C(N3)N)[C@@H]4O)(O)=O;Organic compounds;Nucleosides, nucleotides, and analogues;Purine nucleotides;Cyclic purine nucleotides;3',5'-cyclic purine nucleotides;Purine nucleotides;Nucleosides;Carbohydrates
